DCid	Species	GSMID	Factor	Cell_line	Cell_type	Tissue_type	FastQC	UniquelyMappedRatio	PBC	PeaksFoldChangeAbove10	FRiP	PeaksUnionDHSRatio
268	Homo sapiens	GSM648494	H3K4me1	aTconv	T Lymphocyte	Blood	29.0	0.1307	0.971	1907.0	0.22995929190699999	0.6944
269	Homo sapiens	GSM648495	H3K4me3	aTconv	T Lymphocyte	Blood	28.0	0.134	0.932	7935.0	0.669119075747	0.9740000000000001
272	Homo sapiens	GSM575295	H3K27me3	BG01	Embryonic Stem Cell	Embryo	37.0	0.1048	0.629	1173.0	0.17529650710900002	0.3536
273	Homo sapiens	GSM575280	H3K4me3	BG01	Embryonic Stem Cell	Embryo	37.0	0.3263	0.925	8562.0	0.42073125	0.975
274	Homo sapiens	GSM575296	H3K27me3	BG03	Embryonic Stem Cell	Embryo	30.0	0.32799999999999996	0.594	15.0	0.0088483688839	0.9
275	Homo sapiens	GSM575281	H3K4me3	BG03	Embryonic Stem Cell	Embryo	30.0	0.6394	0.802	10668.0	0.72779575	0.9768
367	Homo sapiens	GSM575223	H3K4me2	Caco-2	Epithelium	Colon	29.0	0.9159		15203.0	0.39174425	0.9374
368	Homo sapiens	GSM575222	H3K4me2	Caco-2	Epithelium	Colon	30.0	0.9148	0.953	16241.0	0.49084399999999995	0.9634
382	Homo sapiens	GSM610328	H3K4me1	CMK	Megakaryocyte	Blood	30.0	0.7686	0.988	117.0	0.14427	0.8012
385	Homo sapiens	GSM353616	H3K4me3	LNCaP	Epithelium	Prostate	18.0	0.38299999999999995	0.937	9738.0	0.52013025	0.9704
386	Homo sapiens	GSM353614	H3K4me3	LNCaP	Epithelium	Prostate	33.0	0.5705	0.948	9053.0	0.55413170773	0.9738
387	Homo sapiens	GSM732912	H3K27me3	CUTLL1	T Lymphocyte	Blood	37.0	0.8589	0.993	78.0	0.01516225	0.7076
388	Homo sapiens	GSM732910	H3K4me1	CUTLL1	T Lymphocyte	Blood	36.0	0.8125	0.983	765.0	0.20112075	0.8926
389	Homo sapiens	GSM732911	H3K4me3	CUTLL1	T Lymphocyte	Blood	33.0	0.7908	0.9690000000000001	8301.0	0.603252	0.9744
480	Homo sapiens	GSM770688	H3K27me3	EJ	None	Urinary Bladder	31.0	0.7138	0.956	26.0	0.0020835000000000003	0.581344902386
481	Homo sapiens	GSM770689	H3K9me3	EJ	None	Urinary Bladder	30.0	0.6009	0.968	105.0	0.021596	0.43314403717100003
537	Homo sapiens	GSM575294	H3K27me3	GM01660	Fibroblast	None	40.0	0.5115	0.9209999999999999	3.0	0.00023928833823700003	0.8
538	Homo sapiens	GSM575279	H3K4me3	GM01660	Fibroblast	None	40.0	0.4866	0.9540000000000001	90.0	0.06447793954969999	0.9336
846	Homo sapiens	GSM602257	H2AK9ac	H1	Embryonic Stem Cell	Embryo	30.0	0.6712	0.995	150.0	0.00959475	0.557
847	Homo sapiens	GSM605295	H2BK120ac	H1	Embryonic Stem Cell	Embryo	33.0	0.7223	0.995	57.0	0.0032485	0.710034013605
848	Homo sapiens	GSM605297	H2BK12ac	H1	Embryonic Stem Cell	Embryo	37.0	0.7266	0.997	64.0	0.015881	0.632
849	Homo sapiens	GSM605296	H2BK12ac	H1	Embryonic Stem Cell	Embryo	3.0	0.6424	0.992	232.0	0.00897725	0.7738
850	Homo sapiens	GSM605299	H2BK15ac	H1	Embryonic Stem Cell	Embryo	37.0	0.7399	0.997	42.0	0.003296	0.6283524904209999
851	Homo sapiens	GSM605298	H2BK15ac	H1	Embryonic Stem Cell	Embryo	33.0	0.6956	0.997	31.0	0.0014005	0.545634920635
852	Homo sapiens	GSM605301	H2BK20ac	H1	Embryonic Stem Cell	Embryo	37.0	0.7338	0.995	44.0	0.00356425	0.593532022828
853	Homo sapiens	GSM605300	H2BK20ac	H1	Embryonic Stem Cell	Embryo	33.0	0.6970000000000001	0.993	40.0	0.00192925	0.547638773819
854	Homo sapiens	GSM605303	H2BK5ac	H1	Embryonic Stem Cell	Embryo	37.0	0.7412	0.997	359.0	0.028853500000000004	0.8462
855	Homo sapiens	GSM605302	H2BK5ac	H1	Embryonic Stem Cell	Embryo	30.0	0.6798	0.997	607.0	0.01173725	0.8658
856	Homo sapiens	GSM667615	H3K14ac	H1	Embryonic Stem Cell	Embryo	2.0	0.4666	0.987	30.0	0.0012515	0.6675977653630001
